business_name,industry,phone,complaint_count,top_keyword,yelp_url,sample_complaint
Sandoval & James,Lawyers,(512) 382-7707,3,no response,https://www.yelp.com/biz/sandoval-and-james-austin-8,"After hearing what it happened to me, I was assured that I had a very winnable case, after all, the evidence is clear. Now I am sitting in more debt b"
"The Law Offices of Matthew J. Obermeier, PC",Lawyers,(210) 972-7660,3,no response,https://www.yelp.com/biz/matthew-obermeier-san-antonio,"THIS GUY DESERVES ZERO STARS!!!!Mathew is a very unreliable,  unprofessional and un responsive.  He took my case over a year ago on a tenant the aband"
Golden Locksmith,Locksmith,832-777-5000,3,hung up,https://www.yelp.com/biz/golden-locksmith-houston-7,"The tech canceled our appointment the morning of because he said he could not get in touch with me.  During booking, I notified this guy that I will b"
Dan's Pro-Lock,Locksmith,(832) 353-3883,3,hung up,https://www.yelp.com/biz/dans-pro-lock-houston-3,Trash company. the guy hung up on me when I confronted him about somethign I was charged for that they didn't do. Dishonest.
Best Locksmith,Locksmith,(945) 899-5641,3,hung up,https://www.yelp.com/biz/best-locksmith-dallas-15,I should've suspected something was not right when I called Best Locksmith explaining that my anti theft device The Club is locked and I've lost my ke
Mr Rekey Locksmith - Austin,Locksmith,(888) 677-3539,3,didn't call,https://www.yelp.com/biz/mr-rekey-locksmith-austin-austin-3,Didn't call. Didn't show. I even double checked my information to make sure it was accurate. They have a 4 hour window and stillI would not recommend 
A-1 Locksmith Security & Safes,Locksmith,(469) 296-5599,3,disconnected,https://www.yelp.com/biz/a-1-locksmith-security-and-safes-plano,Just called and it rang 3 times then disconnected.............is this business open for business?
Anytime Unlock,Locksmith,(806) 789-5691,3,doesn't answer,https://www.yelp.com/biz/anytime-unlock-lubbock,We called and explained we needed a reprogram for keys & parameter reset due to putting in a new body control module. They sent out a tech who couldn'
Eurocar-Werk,Auto Repair,(713) 588-5628,3,voicemail,https://www.yelp.com/biz/eurocar-werk-houston,My Nightmare with a So-Called Mercedes Service CenterI made the grave mistake of bringing my Mercedes C250 to what I now consider the most incompetent
A OK Mobile Mechanics,Auto Repair,(832) 272-5376,3,never picks up,https://www.yelp.com/biz/a-ok-mobile-mechanics-houston,"Called this guy for a family members car, the starter was replaced by himShortly after same issue, intermittent no crank , a defective starter from Au"
As Mobile Auto Repair On Spot,Auto Repair,(512) 409-6623,3,"voicemail, zero response, stopped communicating",https://www.yelp.com/biz/as-mobile-auto-repair-on-spot-austin,Everything started great. They were going to come help my stranded daughter. But they just stopped communicating after saying they would send a Tec ou
Dallas Mobile Mechanics,Auto Repair,(940) 218-7897,3,"voicemail, no answer",https://www.yelp.com/biz/dallas-mobile-mechanics-addison,Calling this company is a waste of time. Leaving a voice-mail is pointless as well. They changed my appointment without notice and when I tried to rea
Gilligan Law Firm,Lawyers,(713) 529-9200,2,hung up,https://www.yelp.com/biz/gilligan-law-firm-houston,This law firm is a joke.   Do not use then for anything.   They tell you one thing and do another.  After being assured reminders would be sent - they
Loncar Lyon Jenkins,Lawyers,(214) 747-0422,2,no communication,https://www.yelp.com/biz/loncar-lyon-jenkins-dallas,Staff not compatible. They have no communication with each other when it's time to gather all the clients information.  Do not sign up with them. See 
Law Offices Of Dorothy Hyde,Lawyers,(214) 883-1700,2,hung up,https://www.yelp.com/biz/law-offices-of-dorothy-hyde-dallas-3,"I had a car accident in Texas 3/3/2022. I am less than three years in Texas, she is the 2nd crooked attorney,  I came across and Texas and the previou"
The Godsey Law Firm,Lawyers,(214) 744-3339,2,voicemail,https://www.yelp.com/biz/the-godsey-law-firm-addison,"updateI chose Godly Law Firm in good faith because I went to church with one of the lawyers, but my experience has been extremely disappointing. I hav"
Lawboss - Uvalle Law Firm,Lawyers,(214) 612-7771,2,poor communication,https://www.yelp.com/biz/lawboss-uvalle-law-firm-dallas-5,"Couldn't even handle a minor rear end claim. Got the run around for about a year with ZERO results, poor communication from Fred Torres and on top of "
Lorenz & Lorenz Accident & Injury Lawyers,Lawyers,(512) 477-7333,2,no communication,https://www.yelp.com/biz/lorenz-and-lorenz-austin,"No communication from the lawyer himself. He was very rude when I talked to him. I had to negotiate for myself to get a higher settlement (8,000) more"
Chambers & Associates - Attorneys At Law,Lawyers,(512) 474-1404,2,left message,https://www.yelp.com/biz/chambers-and-associates-attorneys-at-law-austin,Why can't I leave less than 1 star??? I've called this office several times and left messages beginning since around 10 am this morning and I STILL HA
"Law Offices of Rebecca Gonzalez, PC",Lawyers,(210) 888-9836,2,hung up,https://www.yelp.com/biz/law-offices-of-rebecca-gonzalez-pc-san-antonio,I would rate zero stars if I could. Had a consultation over the phone with Rebecca and was asking questions about the lawful side and what are my opti
"The Law Office of Stephen Marley, PLLC",Lawyers,(210) 900-2201,2,ghosted,https://www.yelp.com/biz/the-law-office-of-stephen-marley-pllc-san-antonio,Stephen Marley told me everything I wanted to hear and however did nothing for me but take my money. He ghosted me out of no where and then pop back u
Law Office Of Steven C Benke,Lawyers,(210) 308-0004,2,voicemail,https://www.yelp.com/biz/law-office-of-steven-c-benke-san-antonio,"Save your money! Laura is too busy and Pat is clueless and unhelpful. Neither communicated in a timely manner after I called, emailed, and left voicem"
Skilled Locksmith,Locksmith,713 291 2375,2,ghost,https://www.yelp.com/biz/skilled-locksmith-sugar-land-3,"He set an appointment, no showed.  Ghosted me even after my follow up requests.  Spend your money where it is appreciated."
AJ Locksmith & Security,Locksmith,(972) 989-5143,2,wouldn't answer,https://www.yelp.com/biz/aj-locksmith-and-security-dallas,My sister has a 2015 Nissan Altima. The key fob was lost so we called A J Locksmith & Security. The owner said that he was gonna refer us to this guy 
Bee's Keys Locksmith,Locksmith,(214) 351-3942,2,never heard back,https://www.yelp.com/biz/bees-keys-locksmith-dallas,We placed an order for a Fort Knox with a 50% deposit OVER 1 YEAR AGO and Bee's Keys refuses to provide us a status. We have called repeatedly over th
Austin Key Guy,Locksmith,(512) 402-2050,2,no answer,https://www.yelp.com/biz/austin-key-guy-pflugerville,"Well, After seeing the reviews on yelp I assumed this company was safe to go with.  HORRIBLY INCORRECT!!  When I first called it was like trying to ge"
Mr. Rekey Locksmith - San Antonio,Locksmith,(210) 495-6257,2,no one answered,https://www.yelp.com/biz/mr-rekey-locksmith-san-antonio-san-antonio-3,Set an appointment for 11 to 1300 it is now 1738 and no show called and they told me they stopped by and no one answered I was home all day they didn'
Not Your Basic Locksmith,Locksmith,(682) 344-1957,2,won't answer,https://www.yelp.com/biz/not-your-basic-locksmith-arlington,these people took my money and now won't answer no call but yet if I use a different number will answer but only to hang up when I ask why they took m
My Local Locksmith,Locksmith,682-253-1593,2,ignored,https://www.yelp.com/biz/my-local-locksmith-arlington-7,Best Locksmith ever!! I am 7 months pregnant with a serious case of baby brain and locked myself out of my car. My husband who has the spare key was i
United Locksmith 24/7,Locksmith,(817) 502-9423,2,ignored,https://www.yelp.com/biz/united-locksmith-24-7-fort-worth,"Bad services ! This guy told me he could come 2 nights ago for $185 , i'm like okay cool . Next thing you know he stops texting back so i text again a"
Amazing Locksmith Service,Locksmith,(512) 335-5397,2,left a voicemail,https://www.yelp.com/biz/amazing-locksmith-service-austin-6,I booked a deadbolt to be installed for a Thurs. At 415p I hadn't heard from anyone so I called the store and they said I was next on the list. I neve
Arrow Auto Unlock,Locksmith,(806) 549-8501,2,didn't show,https://www.yelp.com/biz/arrow-auto-unlock-lubbock,I cannot say enough nice things about this business. My dog locked herself inside my running truck today (Sunday). He came to rescue me in 5 minutes f
Texas Premier Locksmith,Locksmith,(361) 444-1282,2,didn't show,https://www.yelp.com/biz/texas-premier-locksmith-corpus-christi-3,"Unprofessional, didn't show up when scheduled, refusing to refund after no work has been completed."
Uptown Automotive,Auto Repair,(832) 917-0604,2,lack of communication,https://www.yelp.com/biz/uptown-automotive-houston-4,I've called in regards to a having my sunroof seal replaced and some work on the dash of my Tahoe for the past 6 months. I've left my information aske
Montrose Automotive Center,Auto Repair,(713) 523-4406,2,disconnected,https://www.yelp.com/biz/montrose-automotive-center-houston,Bad experience.The air conditioning in my 2005 C240 Mercedes conked out.The cable to the emergency park also got disconnected.Left my car there Wednes
Knapp Auto Repair,Auto Repair,(214) 363-7390,2,"voicemail, ignored",https://www.yelp.com/biz/knapp-auto-repair-dallas,Had high hopes for this place based on previous reviews but all THREE times I have been here Robert Knapp has failed to pay attention to details.Doesn
Austin's Automotive Specialists,Auto Repair,(512) 710-1898,2,no communication,https://www.yelp.com/biz/austins-automotive-specialists-austin-10,"I truly wanted this to be a positive experience, but unfortunately it was not.I brought my 2017 Volkswagen Tiguan (about 79,000 miles) to Austin's Aut"
Sullo And Sullo,Lawyers,(713) 526-2333,1,hung up,https://www.yelp.com/biz/sullo-and-sullo-houston,"I just tried hiring an attorney at Sullo and Sullo for a recent speeding ticket, and the man I spoke with on the phone was extremely rude. I had a few"
"The Tholstrup Law Firm, L.P",Lawyers,(713) 225-1280,1,ignored,https://www.yelp.com/biz/the-tholstrup-law-firm-l-p-houston-4,Horrible attorney. He refused to actually review the information I provided him which resulted in a protective order being granted against me. Had he 
Schwartz Immigration Law,Lawyers,(713) 337-5270,1,lack of communication,https://www.yelp.com/biz/schwartz-immigration-law-houston,"Unprofessional at best, but really just the worst lawyer you can choose. My deal with her and what she probably tells all her clients is she'll help w"
Abogados Manuel Solis,Lawyers,(346) 460-7278,1,never returned,https://www.yelp.com/biz/abogados-manuel-solis-houston-7,"I hired these lawyers, and they asked me for a $2000 deposit. I was never contacted by a lawyer, even when my son's interview was scheduled. They neve"
Morgan & Weisbrod,Lawyers,(214) 373-3761,1,hung up,https://www.yelp.com/biz/morgan-and-weisbrod-dallas-4,The law firm was excellent they handled everything thoroughly they kept me well informed during the case however once I reached the end of the process
Manuel Diaz Law Firm,Lawyers,(214) 800-2086,1,unreachable,https://www.yelp.com/biz/manuel-diaz-law-firm-dallas,Would be better for you to light your money on fire than give it to these lawyers.  They are inept and unreachable unless they want money.  They set m
Legacy Estates & Trust,Lawyers,(512) 543-1622,1,ignored,https://www.yelp.com/biz/legacy-estates-and-trust-austin,"Absolutely would not recommend!! I struggled for weeks to get in touch with amy lefkowitz for a month of her being my attorney Constantly calling, ask"
Carabin Shaw,Lawyers,(210) 222-2288,1,impossible to get ahold,https://www.yelp.com/biz/carabin-shaw-san-antonio-2,Do not hire this law firm. Throughout my entire case it was nearly impossible to get ahold of anyone or a callback. They left the case incomplete and 
The Law Office of Guillermo Lara Jr,Lawyers,(210) 997-6363,1,never answer,https://www.yelp.com/biz/the-law-office-of-guillermo-lara-jr-san-antonio,"Pretty disappointed, these people couldn't even communicate with me with what was going on with my case especially when I had questions or concerns. T"
Laura D Heard Law Firm,Lawyers,(210) 655-9090,1,no communication,https://www.yelp.com/biz/laura-d-heard-law-firm-hill-country-village-3,"Never had any contact with the attorney since the beginning of the process. It was always a guessing game as to where my case was at, no communication"
Soyars & Morgan Law,Lawyers,(210) 390-0000,1,disconnected,https://www.yelp.com/biz/soyars-and-morgan-law-san-antonio-7,"The number was wrong, it was disconnected, I tried 3 times to make sure I was dailing correctly"
Gamez Law Firm,Lawyers,(210) 736-4040,1,won't return,https://www.yelp.com/biz/gamez-law-firm-san-antonio-2,"Gamez Law sucks!! Worst mistake hiring them. Nothing but a bunch of liars! My attorney Matthew Powell is garbage!!! Won't take my calls, won't return "
Richmond Ave Precision Locksmith,Locksmith,(281) 660-3000,1,left multiple messages,https://www.yelp.com/biz/richmond-ave-precision-locksmith-houston,I called these people before the whole Virus thing started and left multiple messages for them to call me and never got one call back. Ron used to be 
K&E Locksmith,Locksmith,(281) 755-9822,1,didn't respond,https://www.yelp.com/biz/k-and-e-locksmith-pearland-2,This business was the first one to respond to my request for a locksmith. My husband lost his keys at work and needed his doors unlocked and a new key
Keylesscity Locksmith Hardware Supply,Locksmith,(832) 450-8444,1,no response,https://www.yelp.com/biz/keylesscity-locksmith-hardware-supply-houston,Won't honor guarantee. I bought an ignition switch for an 03 Honda. Called to confirm i had the right one. Ordered. Received. It didn't fit.  I hired 
Airborne Locksmith,Locksmith,713-955-5554,1,no answer,https://www.yelp.com/biz/airborne-locksmith-houston-4,"They send me a message to give my phone number. I did, nobody called, I called their number, no answer. I guess they don't want my business."
24/7 Locksmith Services,Locksmith,832-779-2233,1,hung up,https://www.yelp.com/biz/24-7-locksmith-services-houston,Trash service! Very unprofessional. Lock smith replaced my key that no longer works less than two months and called me stupid. Had to get another key 
Houston Safe and Lock,Locksmith,713.522.5555,1,poor communication,https://www.yelp.com/biz/houston-safe-and-lock-houston-4,Business must be really good because their service was not. I needed my new house re-keyed and it has Medeco locks. They were the recommended place. I
Automobile Locksmith,Locksmith,(346) 299-8147,1,hung up,https://www.yelp.com/biz/automobile-locksmith-houston-5,"Negative stars if possible. I just called to ask for a quote and immediately they said ""what area are you in?"" In which I replied ""medical center"" and"
Arrows Locksmith,Locksmith,(346) 631-7091,1,no response,https://www.yelp.com/biz/arrows-locksmith-houston,"I got a new key fob through this company that stopped working less than a week later, my technician was able to contact me about a review but when I i"
Lulu's Mobile Lock and Key,Locksmith,469-504-5132,1,hung up,https://www.yelp.com/biz/lulus-mobile-lock-and-key-irving,I called for a quote to help a customer who was locked out of her car and told they can't give me a price because they would need to talk to my custom
Mister Key,Locksmith,(512) 661-4184,1,hung up,https://www.yelp.com/biz/mister-key-austin-8,"This guy just said ""not interested"" when I said ""good morning,"" and then hung up on me. He then proceeded to hang up several times. I eventually got t"
Prestige Mobile Locksmith,Locksmith,(737) 309-4901,1,unresponsive,https://www.yelp.com/biz/prestige-mobile-locksmith-austin-4,"Poor customer service very rude and unresponsive. Zero sense of urgency, don't call if in a rush."
Mobile Locksmith ATX,Locksmith,(512) 800-4677,1,wouldn't call,https://www.yelp.com/biz/mobile-locksmith-atx-austin-2,"Lost all the fobs for my 2010 Honda Crosstour in a move and, after calling Ran, he was able to come to my house and make me two brand new keys in unde"
Zach's Mobile Locksmith,Locksmith,(512) 855-7030,1,never received a call,https://www.yelp.com/biz/zachs-mobile-locksmith-austin,Called and talked to what I believe was an answering service since they couldn't give me a price to unlock a car and was told a tech would call me wit
Chastity Lock and Key,Locksmith,(512) 797-9124,1,voicemail,https://www.yelp.com/biz/chastity-lock-and-key-austin-2,I called to schedule an appointment and received his voicemail. He called me back within five minutes. I got it scheduled on the day I wanted and his 
Priest Lock and Key,Locksmith,(210) 647-4734,1,no response,https://www.yelp.com/biz/priest-lock-and-key-san-antonio,I called because I was locked out of my home. I called and text my address and was told 45-60 minute wait and it's been 3 hours. No responses after th
Sentinel Lock and Key,Locksmith,(210) 897-6800,1,poor communication,https://www.yelp.com/biz/sentinel-lock-and-key-san-antonio,"MOST RECENT EDIT:I've posted a review of this company previously, and due to poor communication and high pricing I had given them a lower rating. Howe"
Michael's Keys Locksmith,Locksmith,817-581-8992,1,hung up,https://www.yelp.com/biz/michaels-keys-locksmith-colleyville-4,Went for our family walk and found we are locked out of the house.  Called twice and was hung up on twice.  Reviews looked good but in this case a was
Martin Locksmith,Locksmith,(817) 274-6583,1,hung up,https://www.yelp.com/biz/martin-locksmith-pantego-3,The girl answering the phone is a horrible heartless human being. I stupidly locked myself out of a rental property that I own and manage. I left the 
City Locksmith,Locksmith,(817) 467-3497,1,hung up,https://www.yelp.com/biz/city-locksmith-arlington-2,wish i could give this a zero stars. i had questions and the individual didnt bother to help me out and hung up on me. beyond rude. go to another lock
All Auto Tech Locksmith,Locksmith,(214) 499-2170,1,hung up,https://www.yelp.com/biz/all-auto-tech-locksmith-arlington,"EGAR E THE OWNER SAID ""DO WHAT I WANT TO DO""... IT DONT MATTER IF YOU CALL D COPS. I NEVER THREATINED TO CALL ANYONE.....I KNOW THAT IF IT WAS A SCAM."
I-Tech Locksmith & Security,Locksmith,(817) 383-1387,1,left message,https://www.yelp.com/biz/i-tech-locksmith-and-security-arlington,We have submitted multiple requests on the their website and called multiple times a day and left messages there as well. They do not answer their web
Budget Locksmith,Locksmith,214-663-2708,1,hung up,https://www.yelp.com/biz/budget-locksmith-arlington,This company is Horrible  I got a key made on May 4 and its going out already I called today to find out what the warranty was and the man at 214-663-
Metroplex Locksmith,Locksmith,(817) 789-6392,1,no answer,https://www.yelp.com/biz/metroplex-locksmith-pantego,Everything was nice and convenient until the locksmith in charge of my request went home and failed to notify anyone on there team that there was a cu
Dallas Safecracker,Locksmith,(972) 440-0181,1,never received a call,https://www.yelp.com/biz/dallas-safecracker-dallas,I had employee accidentally take the keys to an IT case to Virginia while in Dallas. I called Dallas Safecracker on Saturday around 4pm requesting the
The Keyless Shop - Austin,Locksmith,(512) 549-1060,1,no response,https://www.yelp.com/biz/the-keyless-shop-austin-austin,I have made several attempts to call and text and no response so far 3 days now.  I'm not sure how they work emergency services if they don't respond?
Maddisons Auto Locksmiths,Locksmith,(214) 856-6636,1,never respond,https://www.yelp.com/biz/maddisons-auto-locksmiths-lavon,"As a retired Marine Corps career officer, I've come to value a few basic traits in the people I choose to work with. I look for someone who shows up w"
Starkey And Remote,Locksmith,2142147007,1,never respond,https://www.yelp.com/biz/starkey-and-remote-plano-5,"***DO NOT USE!!!***Called them last Tuesday (8/12/25) to set up an appt for Thursday around noon to get a car key/fob made/programmed, and the guy tol"
Locksmith Express,Locksmith,(972) 900-0300,1,no response,https://www.yelp.com/biz/locksmith-express-plano,"We had a gun safe that we had misplaced the key.  Contacted Locksmith Express, they said they could drill out the lock.  The technician came and drill"
GiddyUp Locksmith,Locksmith,(972) 635-4639,1,never returned,https://www.yelp.com/biz/giddyup-locksmith-irving,I didn't have the key for the tonneau cover for my Hummer H2 SUT. GiddyUp came and removed the lock. He said he needed to take it back to the shop to 
Pro Locksmith Services,Locksmith,214-598-8794,1,no show,https://www.yelp.com/biz/pro-locksmith-services-irving,Don't even bother with this company. They are totally unreliable. The guy told me he would show up several times and didn't. Terrible communication an
911 Locksmith and Security,Locksmith,214-556-6714,1,no communication,https://www.yelp.com/biz/911-locksmith-and-security-dallas-3,"They missed my appointment on Thursday afternoon and wanted to show up later which would've taken the service into the evening. I could not do that, s"
Golden's Keys,Locksmith,(214) 328-1222,1,zero stars,https://www.yelp.com/biz/goldens-keys-dallas,Too bad I cannot give it zero stars. I have been in this area as long as Golden's Keys has and it is NOTHING like it used to be. Charged my wife $75 t
Car Keys Fobs For Less,Locksmith,(469) 826-4622,1,lack of communication,https://www.yelp.com/biz/car-keys-fobs-for-less-garland,I really wanted to rate this company a 5. But their lack of communication and follow up is poor.
Pop-A-Lock of Lubbock,Locksmith,(806) 792-9090,1,hung up,https://www.yelp.com/biz/pop-a-lock-of-lubbock-lubbock,"If I could give Less than one star I would worst service possible, rude and unprofessional. Told they would be there in 25 minutes, after an hour I ca"
George's Lock and Key,Locksmith,(806) 762-4414,1,didn't call,https://www.yelp.com/biz/georges-lock-and-key-lubbock-3,Horrible service. Had a 4:30 appointment. They called at 2:20 and wanted to come then. I was in a meeting and couldn't answer (there was a reason we s
Houston Key Locksmith,Locksmith,(832) 837-9008,1,poor communication,https://www.yelp.com/biz/houston-key-locksmith-bellaire,Customer scheduled a 12:30 PM appointment but experienced significant communication failures. Expected a status call 30 minutes before arrival but nev
AnA Tire & Automotive,Auto Repair,(713) 903-7220,1,ignored,https://www.yelp.com/biz/ana-tire-and-automotive-houston,Don't EVER do business with this shop. I've taken my car in FOUR times for the same issue and they still can't figure it out after I paid nearly $400 
Colony One Auto Center,Auto Repair,(281) 475-4023,1,disconnected,https://www.yelp.com/biz/colony-one-auto-center-stafford,I was referred to this shop by my family when I moved to Stafford. The first repair was in 2019 that cost $1000+. I cannot find the receipt but this p
Sam's Auto,Auto Repair,(832) 650-0679,1,poor communication,https://www.yelp.com/biz/sams-auto-houston-2,Save yourself the frustration and avoid this place! I brought my car here to get the A/ C repaired based off the good reviews. They had my car for two
Spates Auto,Auto Repair,(346) 678-8737,1,didn't respond,https://www.yelp.com/biz/spates-auto-pearland,I requested a O2 sensor replacement. First he moved my truck into the street. That's ok but he turned it off too fast and killed the battery. He had n
Christian Brothers Automotive West Galleria,Auto Repair,(713) 489-0983,1,refused to answer,https://www.yelp.com/biz/christian-brothers-automotive-west-galleria-houston-2,Today I placed a visit to Christian Brothers Automotive at the West Galleria location and it will be my last time. I brought in my vehicle for a power
My Mechanic,Auto Repair,(713) 669-9007,1,ignored,https://www.yelp.com/biz/my-mechanic-houston-2,I tried sending a calm letter to the heads of the company.. since I really wanted to let them know how what I thought was a great company has escaped 
E & E Automotive Services,Auto Repair,(713) 523-2340,1,ignored,https://www.yelp.com/biz/e-and-e-automotive-services-houston,"I'm honestly really upset about having to change this review. I thought I FINALLY found a reputable place to take my vehicles but once again, let down"
AA Auto Care & Tire,Auto Repair,(713) 526-4260,1,won't return,https://www.yelp.com/biz/aa-auto-care-and-tire-houston,I have been here four times and I'm more and more disappointed with the service every time. They don't really explain the diagnosis or the repairs the
Eric's Car Care,Auto Repair,(713) 597-5002,1,hung up,https://www.yelp.com/biz/erics-car-care-houston,Very disappointing I haven't had such poor customer service in a long time. How bad was it? The owner's wife hung up on me. I took my vehicle to get a
Ross Auto & Tire Shop,Auto Repair,(214) 826-4158,1,no answer,https://www.yelp.com/biz/ross-auto-and-tire-shop-dallas,Don't go here. Tried to go when the website and all door signage says they open at 8am waited till 8:10 watched someone walk in and lock door behind h
Auto Clinique,Auto Repair,(469) 480-3181,1,never respond,https://www.yelp.com/biz/auto-clinique-dallas,This is the first time ever I leave a negative review since I believe everybody makes mistakes!!Two years ago a go I had a car accident and found this
Lovefield Auto Repair,Auto Repair,(214) 638-7660,1,never called,https://www.yelp.com/biz/lovefield-auto-repair-dallas,"One star, and I am very disappointed because 1. they worked on my car without my authorization (I asked them to diagnose and call me back, they did ca"
Kwik Kar - Dallas,Auto Repair,(214) 219-7100,1,never called,https://www.yelp.com/biz/kwik-kar-dallas-dallas-8,"They never called after they said they would, I had to call them. Never told me my car didn't pass because of wiper blades (which are fine), until I r"
Master Garage Auto Services,Auto Repair,(469) 947-6385,1,no communication,https://www.yelp.com/biz/master-garage-auto-services-garland,This review is about my experience bringing in my 2022 Chrysler Voyager to Master Garage.This was actually the second vehicle I brought in within a fe
Snappee Auto Care,Auto Repair,(214) 956-8040,1,never got back,https://www.yelp.com/biz/snappee-auto-care-dallas-2,"I'm sure Snappee Auto Care is fine for getting oil changes and inspection stickers but if your car needs any mechanical repairs, STAY FAR AWAY from th"
Rescue Mobile Diesel Repair,Auto Repair,(469) 731-3733,1,never returned,https://www.yelp.com/biz/rescue-mobile-diesel-repair-dallas-2,I called these people to have them come and replace a center drive shaft support bearing in my 97 Dakota the appointment was for 12/3/21 at 1pm they m
European Service Center,Auto Repair,(214) 521-5100,1,voicemail,https://www.yelp.com/biz/european-service-center-dallas-3,If I could rate this place 0 stars I would. If you're a Mercedes Benz owner and need a serious repair such as engine work I would take it to Park Plac
Christian Brothers Automotive White Rock,Auto Repair,(214) 891-3009,1,wouldn't return,https://www.yelp.com/biz/christian-brothers-automotive-white-rock-dallas-2,"Do not recommend this business and will not be coming back. Disrespectful to customers, used fear tactic to try to get me to spend an excessive amount"
DFW Mobile Repair,Auto Repair,(972) 968-9688,1,no follow-up,https://www.yelp.com/biz/dfw-mobile-repair-carrollton,Do not use these guys. They are not professional mechanics even though they have a card and professional title. Once they have 'so-called' repaired yo
Eagle Transmission & Auto Repair,Auto Repair,(214) 352-2200,1,voicemail,https://www.yelp.com/biz/eagle-transmission-and-auto-repair-dallas,"Had them rebuild my original transmission in 02/15. Transmission broke in 11/15. UNDER THEIR NO COST WARRANTY, it took 11 phone calls on MY EFFORT, an"
